seed,task,subwindow_idx,sigma_mean,sigma_std,sigma_cv,n
pooled,HSS,17,0.07011581423736754,0.04745317177052012,0.6767827242207282,12600
pooled,HSS,18,0.06898908729458021,0.04704190510074639,0.6818745825681043,12600
pooled,HSS,19,0.0682147746571591,0.0467334043503898,0.6850921165578483,12600
pooled,HSS,20,0.06864652104454026,0.046996322603662835,0.6846133189061392,12600
pooled,HSS,21,0.06925022817445949,0.0471315379327447,0.6805975832167368,12600
pooled,HSS,22,0.07017876800497078,0.047332579916807546,0.6744572648162613,12600
pooled,HSS,23,0.0714956816196412,0.04763523964714568,0.6662673684344508,12600
pooled,HSS,24,0.0722021331511704,0.047829002486759906,0.6624319864154123,12600
pooled,HSS,25,0.07251693747287231,0.047901205274582415,0.6605519612918246,12600
pooled,HSS,26,0.07255928363983652,0.047892210928860895,0.6600424994075754,12600
pooled,HSS,27,0.07266058875314359,0.04794509149730424,0.6598500276428044,12600
pooled,HSS,28,0.07271615133421229,0.047957468390016945,0.6595160429984609,12600
pooled,HSS,29,0.07259469592204643,0.04791941426536514,0.6600952542982194,12600
pooled,HSS,30,0.07249767020566478,0.04786636146463253,0.6602468924703787,12600
pooled,HSS,31,0.0721243247632972,0.04771273288988802,0.6615345522675615,12600
pooled,HSS,32,0.07146347568836063,0.04749153110797861,0.6645566934790667,12600
pooled,HSS,33,0.07037586727726554,0.04720279222446967,0.670724128180204,12600
pooled,HSS,34,0.06883679122390551,0.046562570760521976,0.6764198320788638,12600
pooled,HSS,35,0.0669989637014944,0.04567136476342257,0.6816727041765256,12600
pooled,HSS,36,0.06734837258360275,0.0457758820727853,0.6796880209089168,12600
pooled,HSS,37,0.0682565204868655,0.046154930041764276,0.6761981084377984,12600
pooled,HSS,38,0.07025486042811757,0.04706528364855084,0.6699221002183395,12600
pooled,HSS,39,0.07179226102396136,0.04762769115833131,0.6634098227166172,12600
pooled,HSS,40,0.07228696907973951,0.047832055395902996,0.6616967899586386,12600
pooled,HSS,41,0.07255682781656524,0.04790232000482454,0.6602041661183002,12600
pooled,HSS,42,0.0726427309695513,0.04791790763601204,0.6596380256697282,12600
pooled,HSS,43,0.0726275537738813,0.04787131194916982,0.6591343018135019,12600
pooled,HSS,44,0.07265513603449873,0.047868456547702394,0.6588447721710009,12600
pooled,HSS,45,0.0726660246094541,0.04787016505897745,0.658769560000801,12600
pooled,HSS,46,0.07242834508345122,0.04782928804376967,0.6603669873812695,12600
pooled,HSS,47,0.07201148122016873,0.047719294004164414,0.6626623032272714,12600
pooled,HSS,48,0.07092695121439026,0.04731352119335286,0.6670739455632134,12600
pooled,HSS,49,0.07005060372016733,0.04703465962847689,0.6714383193093848,12600
pooled,HSS,50,0.06844130969451119,0.04660360536678797,0.6809280181049114,12600
pooled,HSS,51,0.06843163900786922,0.04684263566042211,0.6845172253588065,12600
pooled,HSS,52,0.06922430782793237,0.047172560100518214,0.681445023874747,12600
pooled,HSS,53,0.06986954810881307,0.04733787170342104,0.6775179314126697,12600
pooled,HSS,54,0.071351426652677,0.047714947400028504,0.6687315115967384,12600
pooled,HSS,55,0.0721787403310309,0.047880689082765056,0.663362769468842,12600
pooled,HSS,56,0.07251894329356709,0.04795818945232156,0.6613194742535055,12600
pooled,HSS,57,0.07268222144479672,0.04797318910919951,0.660040215551693,12600
pooled,HSS,58,0.07276081652513572,0.04799806404752851,0.6596691232972524,12600
pooled,HSS,59,0.0728509189849276,0.047988636518198145,0.6587238319962264,12600
pooled,HSS,60,0.07285567362327129,0.047963868254876973,0.6583408795709292,12600
pooled,HSS,61,0.07283588623487583,0.0479782413965787,0.6587170675985459,12600
pooled,HSS,62,0.07249536858657227,0.047889096558894756,0.6605814618585837,12600
pooled,HSS,63,0.07195193476376256,0.04769894189576686,0.6629278566639694,12600
pooled,HSS,64,0.07074961073356607,0.04728644470572216,0.6683633198180668,12600
pooled,HSS,65,0.0693679574087617,0.04679018642832083,0.6745216116513598,12600
pooled,HSS,66,0.06726089858701305,0.04586107718918327,0.6818386038933812,12600
pooled,HSS,67,0.06745565229117693,0.0459403065268369,0.681044582128306,12600
pooled,HSS,68,0.06818777295051232,0.04635633341128635,0.6798335156792661,12600
pooled,HSS,69,0.06998097350192625,0.047110228590146845,0.6731862423841549,12600
pooled,HSS,70,0.07165627613671065,0.047705642434800966,0.6657566511520211,12600
pooled,HSS,71,0.0721639325856305,0.04780412437242694,0.6624379057460879,12600
pooled,HSS,72,0.07235345852975217,0.04781302386119605,0.6608256859143098,12600
pooled,HSS,73,0.07244429704393186,0.04782408724185355,0.6601497867092553,12600
pooled,HSS,74,0.07254415924379987,0.04785641262049032,0.6596866394117107,12600
pooled,HSS,75,0.07267335687342677,0.04792133419825966,0.6594071921257602,12600
pooled,HSS,76,0.07269326958125309,0.04792257132511401,0.6592435806116608,12600
pooled,HSS,77,0.07252376640895529,0.047917093285774946,0.6607088359914263,12600
pooled,RAN,0,0.04434079265399348,0.030111957895251115,0.6791028326946053,12600
pooled,RAN,1,0.04429403786621396,0.030053852875513605,0.6785078607258269,12600
pooled,RAN,2,0.04424493007568849,0.029992846800950778,0.6778821155247144,12600
pooled,RAN,3,0.04416138904649646,0.029570318887084286,0.6695966663537329,12600
pooled,RAN,4,0.04364420827714697,0.028143109329170524,0.6448303323652419,12600
pooled,RAN,5,0.043346892248410436,0.027691119651173594,0.638825950715972,12600
pooled,RAN,6,0.0431311276226881,0.02788993366517416,0.6466312197806608,12600
pooled,RAN,7,0.04316877267072125,0.028061010056126056,0.65003029551401,12600
pooled,RAN,8,0.04324278725052459,0.028263560705866195,0.6536017334433807,12600
pooled,RAN,9,0.04328318155496307,0.028338753841066665,0.6547289922548958,12600
pooled,RAN,10,0.043251927028454484,0.028235687564189735,0.6528191806486241,12600
pooled,RAN,11,0.04322872374753749,0.028197679952594205,0.652290364093862,12600
pooled,RAN,12,0.04323674584694562,0.028222089135043395,0.6527338860086089,12600
pooled,RAN,13,0.04326274394227694,0.02828969648352599,0.653904350617967,12600
pooled,RAN,14,0.04328755748827779,0.02832407007126058,0.6543235912289738,12600
pooled,RAN,15,0.043314054205215405,0.02832906268454064,0.6540385841122571,12600
pooled,RAN,16,0.04328643916359556,0.028300710437939566,0.6538008435154634,12600
pooled,RAN,17,0.04326959160289594,0.02826845243797386,0.6533098971075548,12600
